吸	基本义	吸收	一个常见的汉字使用频率较高基本义为吸收。
九羊启泰	图案	梅	九羊启泰是汉族传统吉祥图案，以九只羊为主图。另有松、竹、梅等辅图。
上班病	现象	庸	“上班病”就是当前各单位上班的工作人员在上班时具有庸、懒、散、软等现象。
五姓七望	五姓	王	即陇西李氏（今甘肃省东南部）、赵郡李氏（今河北赵县）、博陵崔氏（今河北安平县、深县、饶阳、安国等地）、清河崔氏（今河北清河县）、范阳卢氏（今保定市和北京市一带）、荥阳郑氏（今河南省）、太原王氏。其中李氏与崔氏各有两个郡望。所以称之为五姓七望，或五姓七家。
五姓七望	五姓	李	其中李氏与崔氏各有两个郡望。所以称之为五姓七望，或五姓七家。
五彩线	颜色组成	黄	五彩线，由红、黄、兰、绿、紫等五个颜色组成。古代也叫五彩长命缕。系五彩线也就成了端午节不可缺少的部分。
五灵仙术	五灵	风	五灵仙术为仙剑奇侠传中很重要的一个部分，目前在仙剑奇侠传三及其外传问情篇中最为突出。其中五灵指的就是风、雷、水、火、土，五灵之说起于女娲补天，伏裔造人之时。
十紧要	十项要求	穴	十紧要是汉族风水学术语。风水九歌十诀之一，是中国古代风水家关于龙、穴、砂、水的十项要求。
利川山药	微量元素	硒	利川山药，在利川市有1500多年的种植历史，地道的山珍佳肴，是来自山野的“绿色之风”，富含硒、锗等稀有微量元素，性平味甘、无副作用，是医疗上一种常用中药。
彩色小麦	微量元素	碘	根据农业部农产品质量监督检验测试中心检测：彩色小麦除含有丰富的蛋白质和赖氨酸外，还含有锌、硒、钙、铁、碘等多种对人体有益的微量元素和矿物质。
热水塘温泉	微量元素	氧	热水塘温泉为地热水温泉，至今开发利用400多年，水中含人体所需或对疾病有疗效的氧、氟、硅、镭等47种化学微量元素，水温在83摄氏度左右，对各种皮肤病、风湿病、高血压和心血管等病症有特殊疗效。
南来顺	烹饪特色	涮	南来顺饭庄是有着近70年历史的京华老字号，以爆、烤、涮等烹饪特色闻名京城，其小吃宴更是精美绝伦，独领风骚。
世界福	五福	财	在人间最美好的福愿里向来有五福（福、禄、寿、喜、财）临门的说法，“世界福”将中华传统的“五福”巧妙地融入设计中，并涵括了“世界福”的九个福愿，堪称“至尊之福”，寓意“世界福”即将成为“世界共同幸福”的至尊符号。
八步区人民法院	地处	湘	八步区人民法院位于广西贺州市区，地处桂、湘、粤三省（区）交界地带，其前身为贺县人民法院，成立于1951年8月，1997年设县级贺州市后更名为贺州市人民法院。
冷藏食品	广泛用于	肉	冷藏食品分为冷却食品和冻结食品，冷藏食品易保藏，广泛用于肉、禽、水产、乳、蛋、蔬菜和水果等易腐食品的生产、运输和贮藏；营养、方便、卫生、经济；市场需求量大，在发达国家占有重要的地位，在发展中国家发展迅速。
中华人民共和国预备役军官退役荣誉章	授予	金	解放军总政治部日前印发《关于启用中华人民共和国预备役军官退役荣誉章》的通知，明确从2013年1月1日起，为符合预备役军官法正常退役的预备役军官，按照服役时间和贡献，分别授予金、银、铜质荣誉章。
呼伦贝尔客运东站	通达	吉	呼伦贝尔客运东站位于海拉尔区风情园路东侧，呼伦贝尔客运东站建成后，将担负起全市13个旗市区和来呼伦贝尔旅游的客流、物流的集散任务，通达黑、吉、辽、京，辐射内蒙古东部和西部。
双鸟朝阳纹象牙碟形器	藏品类别	骨	双鸟朝阳纹象牙碟形器是浙江省博物馆藏，于1977年在河姆渡遗址出土，藏品类别为骨、角、牙器。
农三师四十三团	资源	热	农三师四十三团地处塔克拉玛干大沙漠西南缘的麦盖提县境内，水、土、光、热资源开发利用的潜力很大。
内河航道	内陆水域	湖	内陆水域包括江、河、湖、水库、人工运河和渠道等。内河航道可分为天然航道和人工航道。
动物奇观五	主要图案	猪	动物奇观五为老虎机其中之一种主题游戏，主要图案为乌龟、猪、狗、鸟等动物构成的游戏画面，有趣并好玩。
包装商品	形态	坛	按照商品包装的形式和材料，通常可以分为箱装配送商品、桶装配送商品、袋装配送商品、捆装配送商品和其他坛、罐、瓶状、卷筒状、编筐状等多种形态的包装商品。
东西境老街	格局	田	东西境老街位于广东省增城市小楼镇东、西境村，东西境老街是周姓家族几百年来生产生活和繁衍生息的聚居地。老街极具富岭南特色的“田、塘、村、林”古村落格局。
东阿香山遗址	出土器物	鬲	东阿香山遗址为台形高地，面积8800平方米。表面为灰土层，陶片遍地，出土器物有鬲、罐、顶等，以灰陶居多，也有黑陶与红陶，以大汶口、龙山文化遗物为主。
北京条约	签订	清	《北京条约》是1860年英法联军攻进北京后，英、法、俄强迫清政府分别签订的结束第二次鸦片战争的不平等条约。
医经读	四集	平	《医经读》是清代沈又彭编写的一部书籍，分“平、病、诊、治”四集。
古代诗歌	古代诗歌包括	词	古代诗歌包括诗、词、曲，但古代诗歌的体裁却不外乎古体诗和近体诗两大类。
利什曼原虫病	易感动物	犬	利什曼原虫病是由利什曼属的各种原虫所致人兽共患的一种以慢性经过为主的寄生虫疾病。本病临诊病理特征为不规则高热、消瘦、贫血、白细胞减少，肝、脾、淋巴结肿大，在皮肤和黏膜形成肥厚或溃疡病变。其易感动物有犬、猫、牛、马、绵羊等，试验动物鼠、海豚和猴等也均易感。
原始佛教	三学	定	后人把原始佛教的修持，概括为戒、定、慧三学、慈悲喜舍四无量心以及四念处、四正断、四神足、五根、五力、七觉支等三十七菩提分法。
兰芳绣庄	风格	精	邢兰芳，师从苏绣大师高文娟，2004年，牵头成立了兰芳绣庄，集培训、制作、销售于一体，其苏绣作品山水能分远近之趣，楼阁具现深邃之体，人物具有瞻眺生动之情，花鸟能报绰约亲昵之态，具有“精、细、雅、洁”独特的艺术风格。
内画	流派	京	内画艺术分为京、冀、鲁、粤四大流派，其中尤以冀派内画水平最高、规模最大、发展最快、影响最大，不久前已入选国家非物质文化遗产保护名录，冀派内画的发源地——河北衡水，还被文化部命名为“中国内画之乡”。
三途对三毒	三毒	贪	三途对三毒出自《佛学大词典》，即火、刀、血三途配嗔、贪、痴三毒。
佛教三毒	三毒	嗔	佛教三毒，指世间众生所染三种根本毒害，即贪、嗔、痴。道教受佛教义理影响，认为世间众生之所以沦入苦海。受诸烦恼，不得解脱，皆因后天习染三毒所致。
体腔	器官	肝	人的体腔由膈肌分成上下两个部分，上面的叫胸腔，里面有心脏和肺等器官；下面的叫腹腔，内有胃、肠、肝、胆囊、脾和肾等器官。
剑术	击法	崩	剑的击法有；劈、刺、点；撩、崩、截、抹、穿、挑、提、绞、扫等。剑术的特点是：轻快敏捷、潇洒、飘逸，有"剑走美式"、"剑如飞风"之说。
加料海参	添加	胶	加料海参是指那些添加了糖、盐、胶、甚至火碱的海参，一些不法商人为了谋取暴利，制作加料海参冒充淡干海参，欺骗消费者的同时也损害消费者的健康。
可信任系统	安全级别	D	可信任系统是美国国防部定义的安全操作系统标准，该标准共分为A、B、C、D四个大的安全级别。
仪仗队	组成	海	仪仗队是军队中执行礼仪任务的分队，由陆、海、空三军人员共同组成或由某一军种人员单独组成，执行任务时，配有军乐队，象征着国家或军队的最高礼仪。
少林燕青刀	组成	斩	少林燕青刀是少林传统武术中的优秀套路之一，属于短器械的一种，因刀术在实战中有重要的作用，历代少林寺僧很注重刀术的练习，该刀法主要以劈、撩、刺、斩、崩、按、推、架、缠头、裹脑、舞花等刀法组成。
大木作	组成	柱	大木作，古代汉族木构架建筑的主要结构部分，由柱、梁、枋、檩等组成。同时又是木建筑比例尺度和形体外观的重要决定因素，大木是指木构架建筑的承重部分。清式大木作做法可分为大木大作和大木小作式两类。
双椒炒牛柳	配料	蒜	双椒炒牛柳是一道家常炒菜，主料有牛柳、杭椒、青椒，配料有葱、姜、蒜、红干辣椒等、其特点是制作简单、味道香辣浓厚、牛肉滑嫩，双椒爽口，适合各类人群食用。
紫薯苦瓜盅	配料	糖	紫薯苦瓜盅是一道美食，主要原料有苦瓜。配料有紫薯、糖、盐。
肉片炒快餐面	配料	盐	肉片炒快餐面。主料3包快餐面150g瘦猪肉100g青菜配料适量油适量盐适量生粉适量鸡精适量生抽。
俄罗斯加入巴黎俱乐部	主要成员	法	俄罗斯加入巴黎俱乐部是在1997年6月20日1997年6月20日俄罗斯总统叶利钦宣布俄已原则上被接纳为巴黎俱乐部成员据俄罗斯方面宣布俄于20日就俄加入巴黎俱乐部问题同该俱乐部达成了原则协议巴黎俱乐部成立于1961年其主要成员为美英法德等西方国家。
六欲	注释	口	东汉哲人高诱对此作了注释：“六欲，生、死、耳、目、口、鼻也。”可见六欲是泛指人与生俱来的生理需求或欲望。
卢范大庄墓群	时期	周	卢范大庄墓群：商、周、春秋、战国时期的墓葬群，位于柳沟乡卢范大庄村南100米处一无名山丘前坡。
制香附	味	辛	制香附，一种中药，味辛、微苦、甘，性平。
生首乌	味	涩	首乌其性微温，味苦、甘、涩。生首乌，就是刨出来直接晒干了，跟那生晒参差不多，制首乌，就是把首乌弄完了以后削成片，然后搁咱们说那黑豆，搁黑豆掺在一蒸，而且是久蒸久晒，蒸完了以后再晒干，晒干以后再蒸，蒸完以后再晒干，久蒸久晒以后才叫制首乌。
刘文阁	手术原则	细	刘文阁，博士研究生（北京协和医科大学医学美容整形专业），职业格言：“科学严谨，精益求精，以人为本”。手术原则“稳、准、轻、慢、细、巧”。
六案	机构	吏	六案liùànㄌㄧㄨˋㄢˋ宋于州、县仿吏、户、礼、兵、刑、工六部设六个办事机构，称“六案”。
化忌	四恶	戾	为化禄、化权、化科、化忌“四化”之一。根据《归藏易》属木蛊羽阵和鸠烛阵。位置在西方玄武星宿的毕宿，是属于大吉星，根据《归藏易》记载遇到幽、戾、哀、靖“四恶”时，反吉为大凶。
八端	精髓	信	八端是指：孝、悌、忠、信、礼、义、廉、耻。这是孔子他老人家的德育内容的全部精髓。
呆小路	属性	草	名称：呆小路序号：748属性：草身高：1.6m体重：5.6kg颜色：蓝爱好：喜欢晒太阳简介：看我样子很酷，其实我也没有什么特别，装酷的秘诀就在于你要勇敢的在头上顶一块破抹布。
低碳钢丝	元素	铜	低碳钢丝又名铁丝，低碳钢丝是用低碳钢拉制成的一种金属丝，铁丝按用途不同，成分也不一样，它含有的成分有：铁，钴，镍，铜，碳，锌，还有其他元素。
东灶港	盛产	蟹	东灶港，位于海门市的东北部，她北枕黄海，东邻吕四渔港，盛产各种的鱼、虾、蟹、贝。全港注册捕船553艘，22个码头连成一体，形成一个大规模的水产交易市场。东灶港交通便捷，商贾云集，是一个繁荣文明的群众渔港。
北董屯	盛产	桃	北董屯位于辽宁省瓦房店市赵屯乡境内，属山地地形，盛产红富士苹果、桃、梨、李、杏、等水果，环境优美。
东白堌	盛产	杏	东白堌行政村位于山东省临清市尚店镇西南部，距镇政府4公里，是远近文明的水果之乡，盛产苹果，梨，桃，杏等。
压花	材料	根	压花源于英文的pressedflower，直接翻译“压花”。将植物材料包括根、茎、叶、花、果、树皮等经脱水、保色、压制和干燥处理而成平面花材，经过巧妙构思，制作成一幅幅精美的装饰画、卡片和生活日用品等植物制品，融合植物学与环保学于一体的艺术。
小农具	材料	木	由竹、木、荆柳、钢铁等材料制成。中国小农具的品种、规格多样，包括用于耕整地、种植、施肥、中耕、灌溉、收获、脱粒、清选、加工、运输、园林管理等项作业的各类小农具，每类小农具又有许多规格品种。
执手锁	材料	铝	执手锁拉手的材料有锌合金、铜、铝、不锈钢、塑胶、原木、陶瓷等。
动物座屏	构成	鸟	木雕动物座屏是楚雕塑艺术的珍品，座屏主体是以55只形态各异的凤、鸟、鹿、蛇、蛙啄咬搏斗，交织蟠绕的造像所构成，雕屏四周围长方形柜架上，。
上衣	构成	袋	3.上衣的分类有学生装、军便装、夹克衫、两用衫、T恤等等类型。穿于人体上身的常用服装。一般由领、袖、衣身、袋4部分构成，并由此4部分的造型变化形成不同款式。
冕服	构成	靴	冕服，是古代的一种礼服名称。主要由冠（冕冠）、上衣（玄色，即黑红色）、下裳（一般为红色或黄色）、舄（或靴——明制）等主体部分及蔽膝、绶、佩等其他配件相构成。
八音分类法	分类	竹	周代，我国已有根据乐器的不同制作材料进行分类的方法，分成金、石、丝、竹、匏[páo]、土、革、木八类，叫做“八音”。八音分类法是我国最早的乐器分类方法。在周末至清初的三千多年中，我国一直沿用“八音”分类法。
打捞工具	分类	锥	打捞类工具品种、规格较多，按井内落物类型分类，可分成管类打捞工具、杆类打捞工具、绳缆类打捞工具、测井仪器类打捞工具、小物件类打捞工具等五大类，若按结工具结构特点分类，则可分为锥类、矛类、筒类、钩类、篮类、其它类等六大类。
